"#Attribtues","#Rows",Range Size,Threshold,Timeout (sec),Completed MinSeps,"#Minimal Separators",Completed FullMVDs,"#Full MVDs",Time Building range Tbls,"#In-Memory Queries Issued",Query Time,total Running time,%querying,Cached Entropy Objects,Number of tuples processed during Entropy Computation
20,26139,10,0.0,18000,true,12,true,0,8188398,24,7814948,16010165,48.81241386331746,25,5290
20,26139,10,0.01,18000,false,6,true,0,8242136,21,9760846,0,Infinity,22,4517
20,26139,10,0.1,18000,false,8,true,0,8262410,16,9740988,0,Infinity,17,5337
