#Attribtues,#Rows,Range Size,Threshold,Timeout (sec),Completed MinSeps,#Minimal Separators,Completed FullMVDs,#Full MVDs,Time Building range Tbls,#In-Memory Queries Issued,Query Time,total Running time,%querying,Cached Entropy Objects,Number of tuples processed during Entropy Computation
7,26139,10,0,18000,TRUE,4,TRUE,0,21773,0,0,21777,0,1,0
7,26139,10,0.01,18000,TRUE,3,TRUE,0,20793,0,0,20797,0,1,0
7,26139,10,0.1,18000,TRUE,2,TRUE,0,27246,0,0,27249,0,1,0
