"#Attribtues","#Rows",Range Size,Threshold,Timeout (sec),Completed MinSeps,"#Minimal Separators",Completed FullMVDs,"#Full MVDs",Time Building range Tbls,"#In-Memory Queries Issued",Query Time,total Running time,%querying,Cached Entropy Objects,Number of tuples processed during Entropy Computation
17,199524,12,0.0,18000,true,4,true,0,16301414,0,458,16302289,0.0028094214254206877,1,0
17,199524,12,0.01,18000,true,4,true,0,16302579,0,400,16303352,0.0024534831855436844,1,0
17,199524,12,0.1,18000,true,4,true,0,16302640,0,285,16347238,0.0017434137803584925,1,0
